Index,Review Title,Rating,Review Text,Date,Verified Purchase
64,N/A,2.0 out of 5 stars,"ONE MUST HAVE THE STRENGTH OF SUPER WOMAN TO OPEN THIS PRODUCT.  I GAVE UP AFTER WASTING LOTS OF TIME TRYING.  I WOUND UP TOSSING IT AWAY.  TOO BAD, GOOD PRICE  AND I ALWAYS PREFERRED TOOTH POWDER TO PASTE.",Reviewed in the United States on 23 January 2023,Verified Purchase
65,N/A,2.0 out of 5 stars,My mother used to buy this Colgate tooth powder back in the 50’s and 60’s. Remembering how clean the powder made my mouth feel I thought I’d give this powder a try. Nope not the same!,Reviewed in the United States on 6 January 2023,Verified Purchase
66,N/A,2.0 out of 5 stars,"I don't know who approved this packaging but geezz, they could've done way better. It was a headache to open. I had to lift the cover and punch a hole through it to access the powder. Then the powder would get stuck so I removed the cover all together, now it still gets stuck so I squeeze the bottle to get it out and the powder starts flying all over the place lol.You can tell when people are just putting products just together to make a quick buck.The taste however, is super strong and fresh for sure. I'm tempted to add water to the bottle and just make it into a paste that I can squeeze out. AKA I'll just stick to regular toothpaste lol",Reviewed in Canada on 7 June 2022,Verified Purchase
67,N/A,2.0 out of 5 stars,The cap is plastic and very poor design.  Impossible to open because it is hard molded plastic covering the hole.  Was excited to find toothpaste in a can instead of the plastic tubes but this cap is a complete non-starter.  Come on Colgate- you should be embarrassed at this design!,Reviewed in the United States on 1 June 2022,Verified Purchase
68,N/A,2.0 out of 5 stars,Overcharged excessively,Reviewed in the United Kingdom on 17 February 2022,Verified Purchase
69,N/A,2.0 out of 5 stars,"This product came up in a search for baking soda powdered toothpaste, but as far as I can tell there is no baking soda in it at all.",Reviewed in the United States on 15 October 2021,Verified Purchase
70,Damaged Product,2.0 out of 5 stars,Damaged Product.,Reviewed in India on 7 February 2024,Verified Purchase
71,Two Stars,2.0 out of 5 stars,"I GOT IT IN MRP , GOT NO DISCOUNT",Reviewed in India on 25 May 2016,Verified Purchase
72,N/A,2.0 out of 5 stars,The quality has got bad. …,Reviewed in the United Kingdom on 22 October 2023,Verified Purchase
73,N/A,2.0 out of 5 stars,"the tooth powder is as I remember. packageing sucked. both metal containers came crushed, because it was sent in a slightly paded paper envelope. The tooth powder is useable thats why a 2 star rating.",Reviewed in the United States on 12 March 2023,Verified Purchase
74,N/A,2.0 out of 5 stars,"ONE MUST HAVE THE STRENGTH OF SUPER WOMAN TO OPEN THIS PRODUCT.  I GAVE UP AFTER WASTING LOTS OF TIME TRYING.  I WOUND UP TOSSING IT AWAY.  TOO BAD, GOOD PRICE  AND I ALWAYS PREFERRED TOOTH POWDER TO PASTE.",Reviewed in the United States on 23 January 2023,Verified Purchase
75,N/A,2.0 out of 5 stars,My mother used to buy this Colgate tooth powder back in the 50’s and 60’s. Remembering how clean the powder made my mouth feel I thought I’d give this powder a try. Nope not the same!,Reviewed in the United States on 6 January 2023,Verified Purchase
76,N/A,2.0 out of 5 stars,"I don't know who approved this packaging but geezz, they could've done way better. It was a headache to open. I had to lift the cover and punch a hole through it to access the powder. Then the powder would get stuck so I removed the cover all together, now it still gets stuck so I squeeze the bottle to get it out and the powder starts flying all over the place lol.You can tell when people are just putting products just together to make a quick buck.The taste however, is super strong and fresh for sure. I'm tempted to add water to the bottle and just make it into a paste that I can squeeze out. AKA I'll just stick to regular toothpaste lol",Reviewed in Canada on 7 June 2022,Verified Purchase
77,N/A,2.0 out of 5 stars,The cap is plastic and very poor design.  Impossible to open because it is hard molded plastic covering the hole.  Was excited to find toothpaste in a can instead of the plastic tubes but this cap is a complete non-starter.  Come on Colgate- you should be embarrassed at this design!,Reviewed in the United States on 1 June 2022,Verified Purchase
78,N/A,2.0 out of 5 stars,Overcharged excessively,Reviewed in the United Kingdom on 17 February 2022,Verified Purchase
79,N/A,2.0 out of 5 stars,"This product came up in a search for baking soda powdered toothpaste, but as far as I can tell there is no baking soda in it at all.",Reviewed in the United States on 15 October 2021,Verified Purchase
80,Damage product received,1.0 out of 5 stars,Bottle was broken and poweder spread all over in box,Reviewed in India on 8 July 2023,Verified Purchase
81,Damaged peice,1.0 out of 5 stars,"The Tin of the container was damaged and the Powder has come out. Though it is not refundable it should be replaced by fresh one and in future such type of damage product should not be deliver to the customer. If such non refundable damaged product is noticed before taking delivery then refuse to accepted before the delivery person put his rematks ""Order Delivered""",Reviewed in India on 14 October 2022,Verified Purchase
82,Not that great,1.0 out of 5 stars,Not at all works for whitening teeth’s just a useless product,Reviewed in India on 21 August 2022,Verified Purchase
83,Not natural as you think,1.0 out of 5 stars,I felt it as a chemical rather than natural,Reviewed in India on 19 November 2021,Verified Purchase
84,Not a tooth powder A box of harsh chemical powder,1.0 out of 5 stars,"In initial days of using it will tempt you by it's smell and cleaning property but on longer use it harms you adversely. Please don't use this tooth powder, it has SLS in dry form, a detergent which we commonly find in handwash, clothes detergent, floor cleaner, Car washing chemical, even in our everyday toothpaste. I am suggesting to those who want use 100% natural go for vicco,patanjali,nogi,khadi jagriti herbs,charak,k.p.namboodiri,dabur etc....Indians are blindly using it for decades attracted by it's tactic advertisements and looks.",Reviewed in India on 18 February 2018,N/A
85,Damaged product,1.0 out of 5 stars,Damaged product,Reviewed in India on 15 October 2017,Verified Purchase
86,One Star,1.0 out of 5 stars,bad smell,Reviewed in India on 4 May 2016,Verified Purchase
87,N/A,1.0 out of 5 stars,"I could not get the container open, so I cannot comment on anything about the product. I am disappointed, to say the least.",Reviewed in the United States on 8 February 2024,Verified Purchase
88,N/A,1.0 out of 5 stars,the product is expired,Reviewed in the United States on 4 January 2024,Verified Purchase
89,N/A,1.0 out of 5 stars,"The last time that I purchased Colgate tooth powder was in the late 1960's.  Obviously, I don't use it very often.  When I saw it was still available, I purchased a new tin.  Yet it was nigh impossible to open.  Can was destroyed the second time that I tried to open it. A complete waste, I would give the product 5 stars and the packaging 0 stars.",Reviewed in the United States on 20 December 2023,Verified Purchase
